first_name,last_name,gender,age,status,days_in_status
Artie,Essel,Male,20,8,65
Bliss,Chuney,Female,46,8,244
Rabi,Tudge,Male,28,11,438
Cass,Gogin,Female,15,2,655
Ingunna,Daniello,Female,38,2,239
Milt,Antonescu,Male,52,0,18
Farra,Das,Female,3,5,479
Addie,Fourman,Male,4,7,442
Carla,Samett,Female,52,7,646
Pennie,Scutching,Male,31,13,351
Ferdinande,Hair,Female,31,12,554
Desi,Szymanowski,Male,32,10,82
Wolfy,Scarre,Male,13,4,607
Ephrem,Cosin,Male,41,10,362
Garrek,Brolechan,Male,1,13,57
Iolanthe,Tiffney,Female,45,8,328
Dalila,Tesh,Female,17,9,685
Lucia,Fritz,Female,45,9,552
Mirilla,Jurgenson,Female,51,13,13
Viki,Farden,Female,40,9,327
Inge,Kerbey,Female,30,4,38
Joyan,Yakobovicz,Female,14,11,493
Rozina,Jirzik,Female,25,12,305
Simonne,Rossin,Female,44,11,431
Melonie,Faraday,Female,31,3,567
Dorry,Cush,Female,55,1,312
Noll,Gommes,Male,12,3,168
Jenda,Dutch,Female,8,6,392
Karlene,Flattman,Female,5,13,181
Percy,Inggall,Male,17,10,609
Stanislas,Droogan,Male,42,8,186
Kris,Waters,Male,58,1,320
Datha,Hamill,Female,21,6,226
Gwenore,Breckwell,Female,28,6,199
Sheila-kathryn,Etheredge,Female,60,2,285
Niki,Gresham,Female,48,10,173
Sibylle,Esmead,Female,13,13,347
Zelda,Greensides,Female,11,6,122
Vito,Doogan,Male,33,11,588
Korey,Lehr,Male,52,0,156
Barclay,Fleeman,Male,40,2,499
Ellissa,Kibbey,Female,54,7,539
Glynda,Pickup,Female,32,0,253
Lissi,Branch,Female,45,6,78
Buddie,Bicheno,Male,28,3,246
Wake,Treacy,Male,2,13,346
Maurice,Ipgrave,Male,11,5,110
Vally,Kneal,Female,39,13,167
Georgetta,McCafferky,Female,38,0,577
Reube,Lucius,Male,6,7,447
Brietta,Elsmore,Female,47,2,276
Kassey,Sember,Female,37,3,502
Bobbee,Becconsall,Female,0,0,107
Parker,Brimelow,Male,3,1,549
Tiebout,Brucker,Male,54,4,317
Brok,Waples,Male,59,8,281
Simmonds,Sandeford,Male,6,4,104
Mack,Roches,Male,32,4,707
Carlita,Colquhoun,Female,12,5,642
Veriee,Balderstone,Female,19,12,443
Bjorn,Smorthit,Male,10,7,495
Duffie,O'Henecan,Male,56,10,283
Romy,Rookesby,Female,32,2,431
Fran,Trahar,Female,8,5,340
Valentijn,Rowcastle,Male,36,11,725
Flint,Berard,Male,17,11,566
